ID,Brand,SKU_Model,ItemName,ItemDescription,ItemUPC,SingleItemLength,SingleItemWeight,SingleItemWidth,SingleItemHeight,SingleItemDepth,SinglePackageLength,SinglePackageWidth,SinglePackageHeight,SinglePackageWeight,ItemDimUnit,ItemWeightUnit,PackageDimUnit,Liquid,Glass,SealedCap,PackagingType,ItemFluidOunces,ItemVolumeMil,ItemIngredients,ItemBenefits,ItemSuggestedUse,ItemDirections,ItemCountryOfOrigin,ShelfLife,ItemMainImageLink,ItemImageLink2,ItemImageLink3,ItemImageLink4,ItemImageLink5,ElectronicComponent,Voltage,ElectricCertification,ItemCasePack,CasePackUPC,InnerPackUPC,SingleItemCostUSD,SingleItemRetailUSD,SingleItemMapUSD,BatteriesRequired,BatteriesIncluded,HowManyBatteries,BatteryType,BrandStory,ItemSIOC,ItemPFP,DualLanguage,Hazmat,UnNumber,CanadianCert,DateSubmittedToAmazon,AmazonASIN,AmazonLiveLink,MSDSLink,DateSubmittedtoDB,Warnings,WhatsIncluded,AmazonTitle,AmazonBulletPoint1,AmazonBulletPoint2,AmazonBulletPoint3,AmazonBulletPoint4,AmazonBulletPoint5,AmazonDescription,AmazonKeywords,LabelLanguages
10001,Clubman,70622,"Mustache Wax with Brush/Comb, Black",Ideal for styling and color touch up,70066027068,7.62,0.5,2.54,15.24,,,,,,CM,Oz,,No,No,,Bottle,,,"Water (Aqua, Eau), Beeswax (Cera Alba, Cire d'abeille), Sodium Tallowate, Sodium Cocoate, PEG-5, PEG-32, PEG-7M, DMDM Hydantoin, Potassium Sorate, BHT, Fragrance (Parfum), Citral, Limonene, Linaloool, Iron Oxides (CI 77499)","Ideal for Moustache, Sideburns, Beard, Eyebrows",,Apply a small amout of Wax to hair using brush. Blend with comb to distribute wax evenly. Repeat Until Desired Coverage is achieved.,USA,,,,,,,,,,,,,,,,No,No,,,,No,No,Yes,No,,,,,,,,,,,,,,,,,,"English, French, Spanish"
10002,Clubman,70624,"Mustache Wax with Brush/Comb, Brown",Ideal for styling and color touch up,70066047066,7.62,0.5,2.54,15.24,,,,,,CM,Oz,,No,No,,Bottle,,,"Water (Aqua, Eau), Beeswax (Cera Alba, Cire d'abeille), Sodium Tallowate, Sodium Cocoate, PEG-5, PEG-32, PEG-7M, DMDM Hydantoin, Potassium Sorate, BHT, Fragrance (Parfum), Citral, Limonene, Linaloool, Iron Oxides (CI 77492, CI 77499)","Ideal for Moustache, Sideburns, Beard, Eyebrows",,Apply a small amout of Wax to hair using brush. Blend with comb to distribute wax evenly. Repeat Until Desired Coverage is achieved.,USA,,,,,,,,,,,,,,,,No,No,,,,No,No,Yes,No,,,,,,,,,,,,,,,,,,"English, French, Spanish"
10003,Clubman,70639,Mustache Wax with Brush/Comb,Ideal for styling and color touch up,70066017069,7.62,0.5,2.54,15.24,,,,,,CM,Oz,,No,No,,Bottle,,,"Water (Aqua, Eau), Beeswax (Cera Alba, Cire d'abeille), Sodium Tallowate, Sodium Cocoate, PEG-32, PEG-7M, BHT, Fragrance (Parfum), Citral, Limonene, Linaloolm, DMDM Hydantoin, Potassium Sorate","Ideal for Moustache, Sideburns, Beard, Eyebrows",,Apply a small amout of Wax to hair using brush. Blend with comb to distribute wax evenly. Repeat Until Desired Coverage is achieved.,USA,,,,,,,,,,,,,,,,No,No,,,,No,No,Yes,No,,,,,,,,,,,,,,,,,,"English, French, Spanish"
10004,Clubman,28035,Pinaud Beard and Body Wash,One half of our Tom Grin inspired fragrance and you will be instantly energized,070066280357,2.5,14,2.5,9,,,,,,IN,Oz,,Yes,Yes,Yes,Bottle,14.5,430,"Water (Aqua, Eau), Sodium C14-16, Olefin Sulfonate, Calendula Officinalis Flowers Extract, Hedychium Coronarium Root Extract, Yucca Vera",Cleans away dirt and grime without stripping the body of its natural oils,,"Apply to wet beard, hair and skin",USA,,,,,,,,,,,,,,,,No,No,,,,No,No,Yes,No,,,,,,,,,,,,,,,,,,"English, French, Spanish"
10005,Clubman,11252,Pinaud Classic Vanilla After Shave Lotion,"Helps heal razor nicks, Suave, masculine fragrance",70066112528,2.5,6,1,6.5,,,,,,IN,Oz,,Yes,Yes,Yes,Bottle,6,177,"Alcohol Denat, Water (Aqua, Eau), Fragrance (Parfum), Benzyl Benzoate, Cotronellol, Coumarin, Eugenol, Geranial, Hexyl Cinnamal, Hydroxyisohexyl 3-Cyclohexene, Carboxaldehyde, Limonene, Linalool, Yellow 5 (Cl 19140)","Cools... exhilarates, Soothes tender skin",,,USA,,,,,,,,,,,,,,,,No,No,,,,No,No,No,No,,,,,,,,,,,,,,,,,,"English, French, Spanish"
